Question,Answer 1,#1,Answer 2,#2
After Thanksgiving Name A Food You Make All Of The Leftover Turkey,Turkey Sandwich,51,Stew,39
Besides A Hospital Name Another Place A Nurse Might Get A Job.,Convalescent Home,28,Clinic,19
Besides Books Name Something You’d Find In Most School Libraries.,Computer,40,Magazines,21
Besides Fish Name Something Sold At A Tropical Fish Store.,Aquarium,36,Food,28
Besides Olive Oyl Name Someone We Associate With Popeye.,Bluto/Brutus,44,Whimpy,27
Besides Pizza Name Something A Pizza Place Might Serve,Bread/Cheese Sticks,29,Salad,16
Besides Sand Name Something You’D Need To Make A Sand Castle.,Water,56,Bucket,25
Besides Swimming Name A Popular Ocean Activity,Fishing – Sailing,17,Surfing,13
How Many Credit Cards Does The Average Person Have.,3,34,5,22
If A Bachelor Had To Suddenly Take Care Of A Baby Name Something He’d Have To Learn How To Do Fast.,Change Diapers,87,Feed,8
If A Baseball Umpire Had A Talking Parrot Name Something He Might Learn To Say.,You’re Out,54,Strike,20
If You Were Running For President Of The United States Tell Me An Issue You’d Be Expected To Take A Stand On.,War,25,Taxes,18
If Your Car Had A Brain What Might It Advise You Not To Do.,Speed,44,Crash,34
Name A Body Part That Often Gets Broken.,Arm,44,Finger,16
Name A Brand Of Beer They Sell At Ever Bar.,Budweiser,67,Miller,3
Name A Celebrity Who Is Often Or Always Known By Only One Name.,Madonna,31,Cher,24
Name A Classic Pickup Line A Guy Might Use On A Girl.,Haven’d We Met Before,51,Your Hot,18
Name A Country That’S Known For A Brand Of Car,Germany,45,Usa,19
Name A Feature You Might Have In Your Car That A Mother Might Like To Have On Her Baby’s Stroller.,Radio,39,Cruise Control,6
Name A Flavor You’d Find In Any Ice Cream Shop.,Vanilla,52,Chocolate,29
Name A Food They Serve At The Circus.,Cotton Candy,35,Popcorn,23
Name A Food You Can Cook On A Campfire.,Hot Dogs,27,Smores,18
Name A Good Gift For A Stamp Collector.,Stamp,42,Album,37
Name A Handsome Male Cartoon Character.,Superman,31,Batman,27
Name A Job Where You May Study DNA,Scientist,46,Detective,13
Name A Job Where You Might Have To Watch A Monitor.,Security,53,Tv Editor,8
Name A Kind Of Boat You Couldn’d Pull A Water Skier With.,Row Boat,53,Sail Boat,22
Name A Kind Of Donut.,Glazed,47,Jelly,7
Name A Member Of The Celebrity Elite Who Is Famous For No Apparent Reason.,Paris Hilton,38,Nichole Richie,14
Name A Night Of The Week When People Stay Up Later Than Usual.,Friday,52,Saturday,43
Name A Part Of His Body A Skinny Guy Might Want To Exercise To Build Up.,Chest,42,Arms,40
Name A Pasta Dish That Ends With The Letter “I”,Spaghetti,60,Ravioli,7
Name A Place Where Adults Go To Relax But Kids Go To Play.,Park,58,Beach,34
Name A Professional That Charges For Advice,Therapist,38,Lawyer,31
Name A Reason Why You Might Not Wear Wool.,Itchy,46,Hot,18
Name A Reason Why Your Partner Might Come Home In A Bad Mood.,Bad Day At Work,49,Lost Job,39
Name A Reason You Might Complain About Your Paperboy.,No Paper,38,Broken Window,16
Name A Sea Creature That Would Never Fit In Your Home Aquarium.,Whale,35,Shark,21
Name A Song By Madonna That Everyone Knows.,Like A Virgin,59,Material Girl,24
Name A Specific Item An Auto Part Store Sells A Lot Of.,Oil,35,Batteries,8
Name A Specific Skill You’d Have To Be Good To Be A Professional Baseball Player.,Hitting,36,Throwing,14
Name A Sport That Can Only Be Played Outdoors During The Winter.,Hockey,34,Skiing,30
Name A Sport Where The Players Have Very Little Clothing,Swimming,44,Wrestling,23
Name A Term Or Expression That Starts With The Word “Bird”.,Birdbrain,36,Bird Face,5
Name A Traffic Violation That Everyone’s Committed At Least Once.,Speeding,52,Not Stop,22
Name A Type Of Band.,Rock & Roll,46,Country,2
Name A Type Of Repairman You Might Call To Your House In An Emergency.,Plumber,79,Electrician,13
Name A Way You Can Tell That The Person You’re Talking To Is An Escaped Convict.,Prison Uniform,38,Hand Cuffs,24
Name A Weapon A Scuba Diver Might Use Underwater.,Spear Gun,64,Knife,21
Name A Word That Follows “Holy”,Holy Cow,33,Holy Ghost,28
Name An Activity Kids Do At Day Camp.,Swim,28,Hiking,9
Name An Actor Who Also Has A Rock Band,Keanu Reeves,33,Jack Black,14
