Question,Answer 1,#1,Answer 2,#2,Answer 3,#3
Besides The Bride And Groom Name The Most Important Person At A Wedding.,Clergy Person,64,Best Man,14,Maid Of Honor,8
Besides Toys Name Something A Kid Might Receive At Christmas.,Clothes,53,Books,7,Bike,3
If You Saw A Group Of People Moving In Synch What Might They Be Doing.,Dancing,45,Swimming,27,Marching,27
If You Were Turned Into A Spider Name Something You’d Have To Learn How To Do.,Spin A Web,64,Climb,14,Eat Bugs,12
In Old Movies Name Something That’S Done To Get A Performer To Leave The Stage.,Boo,54,Hook,28,Throw Things,13
Name A Color Of Underwear A Man Would Never Wear.,Pink,69,Red,15,Purple,14
Name A Home Appliance That’s Expensive To Replace.,Fridge,42,Oven,15,Dish Washer,12
Name A Part Of A Motorcycle That It Would Be Tough To Ride Without.,Seat,40,Wheels,26,Handle Bars,24
Name A Place Cars Line Up To Get In.,Car Wash,35,Gas Station,14,Drive Through,8
Name A Specific Type Of Doctor.,Gynecologist,32,Surgeon,5,Cardiologist,6
Name A Sport That’s Fun To Play But Boring To Watch.,Golf,54,Tennis,17,Soccer,4
Name A Sport Where The Players Don’t Wear A Helmet.,Basketball,25,Tennis,23,Golf,14
Name A TV Show About Police.,NYPD Blue,41,Cops,32,CSI,22
Name Something A Parent Might Take Away From A Child Who Is Being Punished.,TV,43,Toy,24,Video Game,21
Name Something Angelina Jolie Has That Starts With The Letter “B”,Breasts,34,Brad,20,Babies,19
Name Something Bats Do That People Don’t.,Sleep During Day,54,Sleep Upside Down,34,Fly,2
Name Something People Put In Their Yards To Attract Birds.,Bird Feeder,44,Bird Bath,6,Bread,20
Name Something That Will Happen If You Stop Brushing Your Teeth.,Cavity,61,Teeth Fall Out,21,Gum Disease,11
Name Something You Might Find In A Suitcase That Would Tell You It Belonged To A Surgeon.,Scalpel,41,Stethoscope,27,Scrubs,12
Name Something You Wear That Might Be Plaid.,Skirt,36,Shirt,31,Jacket,6
Name Something You’d Probably Find In A Baby’s Bedroom.,Crib,58,Diapers,10,Changing Table,3
Tell Me A Way In Which Your Office Is Kinda Of Like A “Soap Opera”,Gossip,46,Affairs,34,Fighting,4
What Would You Be Surprised If It Was Not At A Birthday Party.,Cake,48,Presents,15,Balloons,14
Name A College That Smart People Attend.,Harvard,38,Yale,18,MIT,15
How Many Toys Does A Child Get For The Holidays?,10,44,5,15,6,12
Name A Chain Of Gas Stations.,Texaco,27,Shell,14,Mobil,7
Name A Form Of Transportation Only A Rich Person Could Own.,Private Jet,59,Limo,27,Boat,3
Name A Movie With More Action Than Dialogue.,Terminator,27,Die Hard,25,Rambo,13
Name A Reason A Family Might Throw A Party.,Birthday,48,Graduation,14,Anniversary,7
Name A Room In A Family’s Home Where You Are Most Likely To Find An Air Freshener.,Bathroom,86,Kitchen,2,Bedroom,2
Name A Sport That Is Played During The Fall.,Football,56,Hockey,13,Basketball,13
Name A TV Show You Might Go On If You’re Having Relationship Problems.,Oprah,29,Jerry Springer,23,Dr. Phil,20
Name Something A Professional Mover Might Use On The Job.,Dolly,76,Truck,7,Boxes,2
Name Something About Miss Piggy That’s Different From Most Pigs.,Talks,55,Hair,11,Wears Clothes,6
Name Something That Attracts Flies.,Food,33,Poop,20,Rotten Fruit,9
Name Something That Goes Well With Pizza.,Beer,36,Soda,29,Wings,5
Name Something That Has Pineapple In It.,Upside Down Cake,60,Juice,12,Fruit Salad,8
Name Something That Tastes Best When Grandma Makes It.,Cookies,53,Pie,26,Cake,5
Name The Least Private Room In Your House.,Kitchen,48,Living Room,34,Bedroom,4
Nmae Something Dogs Love To Do That Cats Probably Think Is Ridiculous.,Chase Own Tail,38,Fetch,16,Eat Bone,5
Tell Me An Occupation In Which It Could Be Disastrous To Fall Asleep On The Job.,Truck Driver,42,Pilot,27,Bus Driver,8
Tell Me Which One Of Yuor Five Senses You Rely On The Most.,Sight,81,Hearing,6,Touch,5
Who Was The Worst Oscar Host?,David Letterman,23,Steve Martin,12,Jon Stuart,9
Name Something Toddlers Carry Around With Them All The Time.,Bottle,42,Blanket,31,Pacifier,9
Tell Me Something A Little Boy Might Do To A Little Girl If He Likes Her.,Kiss Her,48,Hit Her,20,Tease Her,5
Name A Famous Man Named Tim.,Tim Allen,49,Tim Robbins,15,Tiny Tim,7
Name A Famous Movie Monster You Might See In A Black And White Film.,Godzilla,36,King Kong,31,Dracula,7
Name A Reason First Class Is Better Than Coach Class.,More Room,37,Free Drinks,28,Large Seat,15
Name One Of The Least Popular Common Holiday Gifts.,Socks,47,Fruitcake,15,Sweater,10
Name Something A Farmer Uses Which Might Cause An Injury.,Tractor,42,Pitch Fork,18,Plow,14
Name Something Associated With A Genie.,Bottle,62,Lamp,20,Wishes,9
Name Something That Makes Music.,Stereo,45,Piano,44,Music Box,7
Name Something That Might Be Orange-Flavored.,Juice,23,Soda,23,Popsicle,3
Name Something Water Skiers Need That Snow Skiers Don’t.,Life Jacket,25,Bathing Suit,18,Boat,9
Name Something You Take Extra Time To Do When Guests Are Coming Over.,Clean,54,Dress,19,Makeup,19
Tell Me The Age When A Child’s Last Baby Tooth Falls Out.,12,27,7,13,5,6
We Asked 100 Women: Name Something You Feel Uncomfortable Wearing In Public When You Feel You Have 10 Pounds To Lose.,Swimsuit,47,Skirt,13,Shorts,11
Name Something People Consider A Snack Food.,Chips,51,Popcorn,12,Crackers,8
Name A Color A Teenager Might Dye Her Hair That Would Annoy Her Parents.,Green,32,Blue,16,Pink,15
